function,db,func_child_cnt,func_child,table_child_cnt,table_child
Func_C1_Account_Usage_Raw,CloudOne,3,"['vw_C1_Entitlement_Daily_Extend', 'vw_C1_Usage_Extend', 'Func_C1_Account_Mapping_2021']",5,"['MAK_Channel_Daily', 'C1_Account_Mapping', 'C1_Usage', 'C1_Entitlement_Daily', 'AWS_Channel_Daily']"
SaaS_Potential,Global_IS,3,"['Partner_Revenue', 'Product_Name', 'Product_Strategy']",3,"['ARL_Inv_Lines_Extend_NABU', 'ARL_NABU_Opportunity', 'ARL_Inv_Lines_Global']"
CLP_WHO_DEPLOY_ZTSA,VisionOne,3,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Get_ZTSA_Rules']",1,['sase_tdl']
R2209ToolbarStatus,Consumer,3,"['R2209User', 'R2209NoIntentionInstallToolbarSurvey', 'R2209InstallToolbarSurveyAbort']",0,[]
func_ps_test_opt,CloudOne,3,"['slog_trace', 'slog_ubtaudit', 'SANDBOX_ANALYSIS_ACTIVE_CLP_FUNC']",2,"['xdr_pendo_feature_events', 'xdr_pendo_events_flattened']"
Func_ps_test,CloudOne,3,"['slog_trace', 'slog_ubtaudit', 'SANDBOX_ANALYSIS_ACTIVE_CLP_FUNC']",2,"['xdr_pendo_feature_events', 'xdr_pendo_events_flattened']"
onelink_get_news_page_table,Consumer,3,"['onelink_is_user_agent_valid', 'onelink_get_product_table', 'Product_Name']",1,['telemetry_collector']
onelink_get_web_click_table,Consumer,3,"['onelink_fix_additional_info', 'onelink_map_prod_url_to_destination', 'Product_Name']",1,['telemetry_collector']
onelink_get_install_table,Consumer,3,"['onelink_get_web_click_table', 'onelink_get_app_launch_table', 'Product_Name']",0,[]
Revenue_YTD_Trending,hubble,3,"['GetCurrentMonth', 'GetMonths', 'Invoice_Detail']",0,[]
Upgrade_Opportunities,Global_IS,3,"['Partner_Revenue', 'Product_Name', 'Product_Strategy']",3,"['ARL_Inv_Lines_Extend_NABU', 'ARL_NABU_Opportunity', 'ARL_Inv_Lines_Global']"
Func_ps_test_base,CloudOne,3,"['slog_trace', 'slog_ubtaudit', 'SANDBOX_ANALYSIS_ACTIVE_CLP_FUNC']",2,"['xdr_pendo_feature_events', 'xdr_pendo_events_flattened']"
R2211ToolbarStatus,Consumer,3,"['R2211User', 'R2211NoIntentionInstallToolbarSurvey', 'R2211InstallToolbarSurveyAbort']",0,[]
Func_ps_test_backup,CloudOne,3,"['slog_trace', 'slog_ubtaudit', 'SANDBOX_ANALYSIS_ACTIVE_CLP_FUNC']",3,"['xdr_pendo_feature_events', 'xdr_pendo_events_flattened', 'CLP_Account_License']"
REPORT_V1_ZTSA,VisionOne,2,"['CLP_WHO_VISIT_ZTSA', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
CLP_EAI_EMAIL_SENSOR,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
mxdr_get_approval_requests_list,VisionOne,2,"['mxdr_customer', 'slog_ubtaudit']",0,[]
_C1WS_Server_Setting_for_Early_Warning,VisionOne,2,"['DS_File_List', 'Product_Name']",3,"['MAK_Account_GUID', 'ds_product_feedback', 'ds_host']"
CLP_WHO_INUSE_ZTSA,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Get_ZTSA_Rules']",0,[]
onelink_get_experience_portal_table,Consumer,2,"['onelink_get_query_parameter_value_from_url', 'onelink_get_platform']",1,['telemetry_collector']
SG2_Appliance_Setting,VisionOne,2,"['slog_ubtaudit', 'SG2_Appliance_Registered']",1,['CLP_Account_License']
onelink_get_one_link_sources,Consumer,2,"['onelink_fix_additional_info', 'Product_Name']",1,['telemetry_collector']
_C1WS_Agent_Setting_for_Early_Warning,VisionOne,2,"['DS_File_List', 'Product_Name']",3,"['MAK_Account_GUID', 'ds_product_feedback', 'ds_host']"
vw_C1_Deployed_Instance_by_FreeTier,CloudOne,2,"['vw_C1_Usage_Extend', 'vw_C1_NSVA']",0,[]
CLP_WHO_CREDIT_EAI,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
_DS_Agent_Setting_for_Early_Warning,VisionOne,2,"['DS_File_List', 'Product_Name']",3,"['MAK_Account_GUID', 'ds_product_feedback', 'ds_host']"
NEW_ZTSA_deploy_agent_with_traffic,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'GET_OS_Category']",2,"['dataLakeMetrics', 'xdr_endpoint_agent']"
_DS_Server_Setting_for_Early_Warning,VisionOne,2,"['DS_File_List', 'Product_Name']",3,"['MAK_Account_GUID', 'ds_product_feedback', 'ds_host']"
BIF_email_sensor_daily_snapshot,VisionOne,2,"['slog_ubtaudit', 'CLP_EAI_EMAIL_SENSOR']",1,['cas_product_feedback']
TRI_get_security_playbook_metrics,VisionOne,2,"['xdr_matomo_events', 'slog_ubtaudit']",0,[]
CLP_WHO_USE_ZTSA,VisionOne,2,"['slog_ubtaudit', 'CLP_WHO_DEPLOY_ZTSA']",2,"['sase_tdl', 'dataLakeMetrics']"
DDI_Settings_related_to_SOC_Users,VisionOne,2,"['ddi_Fn_valid_cus', 'ddi_Fn_guid_with_latest_feedback_in_90d']",1,['MAK_Account_GUID']
CLP_WHO_INUSE_ZTRI,VisionOne,2,"['GET_ZERI_SENSOR_LOGCOUNT_DAILY', 'CLP_WHO_VISIT_ZTRI']",2,"['sase_tdl', 'dataLakeMetrics']"
CLP_WHO_VISIT_V1_DAILY,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
NEW_ZTSA_customer_daily_weekly_monthly_test,VisionOne,2,"['CLP_WHO_VISIT_V1', 'CLP_WHO_VISIT_ZTSA']",0,[]
BIF_Service_Gateway_Service_Customer_Enable,VisionOne,2,"['SG_Appliance_Service_Status', 'SG_Appliance_Service_Status_2']",1,['CLP_Account_License']
CLP_WHO_ACTIVE_EAI,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
RI_general_feature,VisionOne,2,"['RI_mitigate_or_prevent_risk_feature', 'RI_access_risk_feature']",1,['xdr_pendo_events_flattened']
TPI_Cus_log_admins,VisionOne,2,"['TPI_Cus_base', 'slog_ubtaudit']",0,[]
ZTSA_Customer_CLP,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",2,"['Federation', 'CLP_Account_License']"
Reports_Overview_Before_30d,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Reports_Visit']",0,[]
CES2_Workflow_and_Automation,VisionOne,2,"['XDR_get_decisive_response', 'Func_Security_Playbook_Use_CES']",1,['xdr_pendo_raw_events']
Func_Security_Playbook_Use_Jerry,VisionOne,2,"['xdr_matomo_events', 'slog_ubtaudit']",3,"['V1_role', 'trilogy3_wae_playbook', 'trilogy3_wae_triggered_task']"
V1_Flywheel_Product_Campaign_Promotion_Onboard,VisionOne,2,"['slog_trace', 'slog_ubtaudit']",1,['CLP_Account_License']
Func_Security_Playbook_Use_Temp,VisionOne,2,"['xdr_matomo_events', 'slog_ubtaudit']",2,"['trilogy3_wae_playbook', 'trilogy3_wae_triggered_task']"
Func_Security_Playbook_Use,VisionOne,2,"['xdr_matomo_events', 'slog_ubtaudit']",3,"['V1_role', 'trilogy3_wae_playbook', 'trilogy3_wae_triggered_task']"
